lat,lon
3.898216659999999933e+01,-7.694085649999999532e+01
3.898216810000000265e+01,-7.693907539999999301e+01
3.898217489999999685e+01,-7.693957709999999395e+01
3.898220169999999740e+01,-7.694453450000000316e+01
3.898221430000000254e+01,-7.694301040000000569e+01
3.898221509999999768e+01,-7.694286859999999706e+01
3.898221749999999730e+01,-7.694299139999999682e+01
3.898221790000000198e+01,-7.694285689999999533e+01
3.898223279999999846e+01,-7.694449620000000323e+01
3.898234420000000000e+01,-7.694211280000000386e+01
3.898237710000000078e+01,-7.694088460000000396e+01
3.898240049999999712e+01,-7.694302000000000419e+01
3.898240299999999792e+01,-7.694286219999999332e+01
3.898242900000000333e+01,-7.694358809999999949e+01
3.898243800000000192e+01,-7.694464700000000335e+01
3.898244230000000243e+01,-7.694442530000000602e+01
3.898250010000000287e+01,-7.694464899999999830e+01
3.898250339999999881e+01,-7.694442709999999863e+01
3.898251530000000287e+01,-7.694106990000000224e+01
3.898253119999999683e+01,-7.694167260000000397e+01
3.898256959999999793e+01,-7.693268480000000409e+01
3.898259099999999933e+01,-7.694302709999999479e+01
3.898259319999999661e+01,-7.694286719999999491e+01
3.898262590000000216e+01,-7.693223949999999434e+01
3.898265700000000322e+01,-7.694685479999999700e+01
3.898266410000000093e+01,-7.693215820000000349e+01
3.898271079999999955e+01,-7.694451239999999359e+01
3.898273809999999884e+01,-7.694454980000000432e+01
3.898274729999999977e+01,-7.694328799999999546e+01
3.898276140000000112e+01,-7.693298520000000451e+01
3.898277720000000102e+01,-7.694685839999999644e+01
3.898280530000000255e+01,-7.694151239999999348e+01
3.898284269999999907e+01,-7.694853129999999908e+01
3.898284710000000075e+01,-7.694621420000000001e+01
3.898286879999999854e+01,-7.694225319999999613e+01
3.898287260000000032e+01,-7.693253160000000435e+01
3.898288480000000078e+01,-7.693207440000000474e+01
3.898305849999999850e+01,-7.693754629999999395e+01
3.898306910000000158e+01,-7.694546019999999942e+01
3.898311900000000207e+01,-7.694762930000000267e+01
3.898312190000000044e+01,-7.694270830000000672e+01
3.898316919999999897e+01,-7.693714869999999451e+01
3.898318239999999690e+01,-7.694200659999999914e+01
3.898318259999999924e+01,-7.694196569999999724e+01
3.898320120000000344e+01,-7.693670059999999467e+01
3.898323239999999856e+01,-7.693607989999999575e+01
3.898323359999999838e+01,-7.693502780000000030e+01
3.898323429999999945e+01,-7.693551229999999919e+01
3.898326800000000247e+01,-7.694545720000000699e+01
3.898327069999999850e+01,-7.694607019999999409e+01
3.898330080000000208e+01,-7.693451039999999352e+01
3.898333740000000347e+01,-7.694251599999999769e+01
3.898338170000000247e+01,-7.694352410000000475e+01
3.898338650000000172e+01,-7.694361659999999858e+01
3.898339659999999895e+01,-7.694179230000000302e+01
3.898349149999999952e+01,-7.694375490000000184e+01
3.898350200000000143e+01,-7.694361979999999335e+01
3.898355389999999687e+01,-7.694553779999999676e+01
3.898355579999999776e+01,-7.694543090000000518e+01
3.898355690000000351e+01,-7.694196080000000393e+01
3.898359870000000171e+01,-7.693351199999999324e+01
3.898364080000000342e+01,-7.693408890000000611e+01
3.898364920000000211e+01,-7.694615480000000218e+01
3.898377990000000182e+01,-7.694303820000000371e+01
3.898379469999999714e+01,-7.694689739999999745e+01
3.898379549999999938e+01,-7.694724979999999448e+01
3.898383369999999815e+01,-7.694556040000000507e+01
3.898384829999999823e+01,-7.694724859999999467e+01
3.898385689999999926e+01,-7.694689809999999852e+01
3.898387000000000313e+01,-7.693395180000000266e+01
3.898390549999999877e+01,-7.694543790000000172e+01
3.898394040000000160e+01,-7.694558220000000404e+01
3.898394040000000160e+01,-7.694553929999999298e+01
3.898397359999999878e+01,-7.693256890000000681e+01
3.898401030000000134e+01,-7.694387059999999678e+01
3.898404200000000230e+01,-7.693356520000000387e+01
3.898408059999999864e+01,-7.694294879999999637e+01
3.898413769999999801e+01,-7.694588600000000156e+01
3.898413910000000016e+01,-7.694580179999999814e+01
3.898417309999999958e+01,-7.694767679999999643e+01
3.898422879999999680e+01,-7.694721850000000529e+01
3.898422920000000147e+01,-7.694719929999999408e+01
3.898432139999999890e+01,-7.693327379999999494e+01
3.898432199999999881e+01,-7.694089689999999848e+01
